"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"1","What is the highest point on the Earth continental crust?","Mount Damavand","K2","Kangchenjunga","Lhotse","Annapurna","Makalu","Manaslu","Mount Everest","Mount Fiji"
"","","Idle","Idle","Slightly Possitive","Highly Possitive","Moderately Possitive","Slightly Negative","Highly Negative","Moderately Negative","Moderately Negative"
"","","","","","","","","","","00:00:00.7344348"
"","","","00:00:00.2771210","","","","","","",""
"","","","","","","","00:00:00.0218783","","",""
"","","","","","","","","","","00:00:00.6149836"
"","","","","","","","","","00:00:01.7920274",""
"","","","","","","","","00:00:00.9759480","",""
"","","","","","00:00:01.7465647","","","","",""
"","","","","","","","","","00:00:00.0196600",""
"","","","","","","00:00:00.0220898","","","",""
"","","","00:00:00.0214373","","","","","","",""
"","","","00:00:00.9086980","","","","","","",""
"","","","","00:00:00.4313439","","","","","",""
"","","","","","","","00:00:00.7810047","","",""
"","","","","","","","","","00:00:00.5087546",""
"","","","","","","","","","","00:00:00.9395562"
"","","","","","","","","","00:00:04.4822559",""
"2","Which two colors make purple?","Red and Grey","Red and Blue","Red and Green","Orange and White","Green and Orange","Blue and Yellow","White and Red","Grey and Orange","None"
"","","Idle","Moderately Negative","Slightly Possitive","Idle","Moderately Possitive","Highly Possitive","Moderately Negative","Highly Negative","Slightly Negative"
"","","00:00:02.9574319","","","","","","","",""
"","","","00:00:01.2952363","","","","","","",""
"","","","","00:00:01.2305895","","","","","",""
"","","","","","","","00:00:00.0645473","","",""
"","","","","","","","00:00:01.6144295","","",""
"","","","00:00:02.1078323","","","","","","",""
"3","Which fruits are most commonly used to make wine?","Blackberry","Oranges","Wheat","Apples","Lemons","Grapes","Potatoes","Strawberries","Pear"
"","","Idle","Moderately Negative","Idle","Moderately Possitive","Highly Negative","Moderately Negative","Highly Possitive","Slightly Negative","Slightly Possitive"
"","","","","","","","00:00:10.7073941","","",""
"","","","","","","00:00:00.5932600","","","",""
"","","","","","","","","00:00:00.0208020","",""
"","","","","","","","","00:00:01.5775876","",""
"","","","","","","00:00:00.0203180","","","",""
"","","","","","","","00:00:00.7544027","","",""
"4","Which Italian city has a famous leaning tower?","Siena","Turin","Milan","Pisa","Paris","Eiffel","Venice","Rome","Florence"
"","","Slightly Possitive","Highly Possitive","Moderately Negative","Moderately Possitive","Highly Negative","Idle","Moderately Negative","Slightly Negative","Idle"
"","","","","","","","00:00:05.6739620","","",""
"","","","","","","","","","","00:00:00.0209802"
"","","","","","","","","","00:00:00.0410855",""
"","","","","","","","","","00:00:00.0415007",""
"","","","","","","","00:00:00.4995378","","",""
"","","","","","","","","","00:00:00.0208661",""
"","","","","","","","","","00:00:00.0440103",""
"","","","","","","","","00:00:00.2039070","",""
"","","","","","","","","00:00:00.0886669","",""
"","","","","","00:00:03.0478671","","","","",""
"5","A common currency for the members of the Common Market in Europe is known as:","Krouna","Sterling","Pound","Euro","Forint","Dollar","Franc","Leu","Krone"
"","","Slightly Possitive","Idle","Moderately Negative","Slightly Negative","Highly Possitive","Moderately Possitive","Highly Negative","Moderately Negative","Idle"
"","","","","","","00:00:07.9330835","","","",""
"","","","","","00:00:01.5600605","","","","",""
"","","","","","","00:00:00.0418749","","","",""
"","","","","","","","00:00:00.0405240","","",""
"","","","","","","","00:00:01.7804058","","",""
"","","","","","","00:00:00.1725089","","","",""
"","","","","","","00:00:00.0680562","","","",""
"","","","","","","","00:00:00.0423151","","",""
"","","","","","","","00:00:02.4047692","","",""
"","","","","","","00:00:00.0431278","","","",""
"","","","","","00:00:01.1907146","","","","",""
"6","Where is Palace of Versailles located at?","Chile","France","Mexico","Argentina","Brazil","Spain","Italy","Greece","Peru"
"","","Moderately Possitive","Idle","Moderately Negative","Slightly Possitive","Moderately Negative","Idle","Highly Possitive","Highly Negative","Slightly Negative"
"","","","00:00:06.3752400","","","","","","",""
"","","","","00:00:00.7374199","","","","","",""
"","","","","","","","00:00:00.7461554","","",""
"","","","","","","","","","","00:00:00.6388706"
"","","","","","","","","","00:00:00.7076612",""
"","","","","","","","","00:00:01.5470966","",""
"","","","","","","00:00:00.0622935","","","",""
"","","","00:00:00.4902665","","","","","","",""
"7","What is the common name for sodium chloride?","Ketchup","Baking powder","Vinegar","Chocolate","Pepper","Turmeric","Salt","Mustard","Syrup"
"","","Highly Negative","Idle","Moderately Possitive","Moderately Negative","Slightly Negative","Highly Possitive","Moderately Negative","Slightly Possitive","Idle"
"","","","00:00:05.6090884","","","","","","",""
"","","","","","","","00:00:00.3419640","","",""
"","","","00:00:01.8520554","","","","","","",""
"","","","","00:00:00.5608599","","","","","",""
"","","","00:00:00.1964127","","","","","","",""
"","","","","00:00:01.5716575","","","","","",""
"","","","00:00:00.0205365","","","","","","",""
"","","00:00:00.0415128","","","","","","","",""
"","","00:00:00.6333432","","","","","","","",""
"","","","","","00:00:00.0272514","","","","",""
"","","","","","","","","00:00:00.3028953","",""
"","","","","","00:00:00.5222435","","","","",""
"","","","","","","","","00:00:00.4576629","",""
"","","","","","","","","","00:00:00.5357073",""
"","","","","","","","","","","00:00:00.9451427"
"","","","","","","","","","00:00:01.1337486",""
"","","","","","","00:00:00.8160746","","","",""
"","","","","","","","00:00:01.0050587","","",""
"","","","00:00:00.5427145","","","","","","",""
"8","What is the main ingredient of omelette?","Milk","Onion","Potato","Sausage","Cheese","Butter","Egg","Bacon","Garlic"
"","","Idle","Highly Negative","Highly Possitive","Moderately Negative","Moderately Possitive","Idle","Slightly Negative","Moderately Negative","Slightly Possitive"
"","","","00:00:05.3688292","","","","","","",""
"","","","","","","00:00:00.0192054","","","",""
"","","","","","","","","00:00:00.0216184","",""
"","","","","","","","","00:00:02.1550618","",""
"","","","","","","","","","00:00:00.6724816",""
"","","","","","","","","","","00:00:00.7703825"
"","","","","","","","00:00:00.6995863","","",""
"","","","","00:00:00.0264127","","","","","",""
"","","","","00:00:01.6214404","","","","","",""
"","","","","","","00:00:00.0224832","","","",""
"","","","","","","","","00:00:00.5547720","",""
"9","Who is the King of the Gods in Greek Mythology?","Poseidon","Zeus","Apollo","Athena","Dionysus","Hera","Ares","Artemis","Demeter"
"","","Highly Possitive","Moderately Negative","Moderately Possitive","Slightly Possitive","Idle","Slightly Negative","Moderately Negative","Highly Negative","Idle"
"","","","","","","","","00:00:09.1098193","",""
"","","00:00:01.3190782","","","","","","","",""
"","","","00:00:01.0780642","","","","","","",""
"10","Sports car manufacturer Ferrari are based where?","Malmo, Sweden","Montevideo, Uruguay","Maranello, Italy","Toulouse, France","Wolfsburg, Germany","Stuttgart, Germany","Madrid, Spain","Boulogne-Billancourt, France","Luxembourg, Luxembourg"
"","","Moderately Possitive","Slightly Possitive","Highly Possitive","Slightly Negative","Idle","Idle","Moderately Negative","Highly Negative","Moderately Negative"
"","","","00:00:08.2320775","","","","","","",""
"","","","00:00:01.4050646","","","","","","",""
"","","","","00:00:01.9133784","","","","","",""
"","","","00:00:00.0423977","","","","","","",""
"","","","","00:00:02.7719396","","","","","",""
"11","Who directed the 1983 film ET the Extra-Terrestrial?","Drew Barrymore","Stanley Kubrick","Quentin Tarantino","Tom Hanks","Robin Williams","Steven Spielberg","James Cameron","Martin Scorsese","Woody Allen"
"","","Slightly Possitive","Idle","Moderately Negative","Slightly Negative","Highly Negative","Moderately Negative","Moderately Possitive","Highly Possitive","Idle"
"","","00:00:02.5120285","","","","","","","",""
"","","","","","","00:00:00.0210743","","","",""
"","","","","","","","00:00:00.0475141","","",""
"","","","","","","","00:00:01.3873343","","",""
"","","","","","","","","","00:00:01.3916883",""
"","","","","","","","00:00:01.6924346","","",""
"12","What country is also known as Persia?","France","Iran","Poland","China","India","Lebanon","Egypt","Saudi Arabia","Russia"
"","","Moderately Possitive","Idle","Slightly Possitive","Highly Negative","Moderately Negative","Slightly Negative","Idle","Moderately Negative","Highly Possitive"
"","","","","","","00:00:03.9019609","","","",""
"","","","","","","00:00:00.0208168","","","",""
"","","","00:00:00.0207687","","","","","","",""
"","","","00:00:01.3032910","","","","","","",""
"","","","","00:00:00.7584899","","","","","",""
"","","","","","","","00:00:00.5868426","","",""
"","","","","","","00:00:00.0194106","","","",""
"","","","00:00:00.5179931","","","","","","",""
"13","The disease bronchitis is associated with:","Sinuses","Esophagus","Forhead Veins","Heart","Brain","Trachea","Liver","Lungs","Kidney"
"","","Highly Possitive","Moderately Negative","Slightly Negative","Idle","Highly Negative","Moderately Negative","Moderately Possitive","Idle","Slightly Possitive"
"","","","00:00:05.5637749","","","","","","",""
"","","","","","","","","","","00:00:01.3218906"
"","","","","","","","","","00:00:01.2723637",""
"","","","","","","","","00:00:00.7082419","",""
"","","","","","","","","","00:00:00.6875944",""
